age,hours-per-week
39,40
50,13
38,40
53,40
28,40
37,40
49,16
52,45
31,50
42,40
37,80
30,40
23,30
32,50
40,40
34,45
25,35
32,40
38,50
43,45
40,60
54,20
35,40
43,40
59,40
56,40
19,40
54,60
39,80
49,40
23,52
20,44
45,40
30,40
22,15
48,40
21,40
19,25
31,38
48,40
31,43
53,40
24,50
49,40
25,35
57,40
53,38
44,40
41,40
29,43
25,40
18,30
47,60
50,55
47,60
43,40
46,40
35,40
41,48
30,40
30,40
32,40
48,40
42,45
29,58
36,40
28,40
53,40
49,50
25,40
19,32
31,40
29,70
23,40
79,20
27,40
40,40
67,2
18,22
31,40
18,30
52,40
46,40
59,48
44,40
53,35
49,40
33,50
30,40
43,50
57,40
37,40
28,25
30,35
34,40
29,50
48,60
37,48
48,40
32,40
76,40
44,60
47,50
20,40
29,40
32,40
17,32
30,40
31,40
42,40
24,40
38,40
56,50
28,25
36,40
53,50
56,50
49,40
55,56
22,41
21,40
40,60
30,40
29,50
19,35
47,40
20,28
31,40
35,40
39,40
28,60
24,40
38,35
37,50
46,36
38,40
43,60
27,35
20,20
49,40
61,40
27,40
19,30
45,40
70,40
31,30
22,24
36,24
64,40
43,40
47,38
34,40
33,40
21,35
52,45
48,46
23,40
71,2
29,60
42,50
68,20
25,40
44,40
28,40
45,40
36,40
39,42
46,40
18,16
66,20
27,40
28,40
51,40
27,50
28,40
27,25
21,40
34,40
18,12
33,65
44,38
43,40
30,45
40,40
37,42
34,40
41,40
53,50
31,50
58,1
38,28
24,40
41,40
47,45
41,24
23,40
36,40
40,55
35,40
24,40
26,40
19,40
51,50
42,40
37,35
18,40
36,36
35,60
58,35
17,12
44,40
37,40
35,40
60,40
54,40
37,60
50,40
38,50
45,55
25,40
31,40
64,40
90,40
54,20
53,35
18,40
60,10
66,50
75,20
65,40
35,40
41,38
25,42
33,40
28,55
59,40
40,38
41,50
38,70
23,40
40,40
41,20
24,50
20,20
38,40
56,35
58,45
32,34
40,60
45,40
41,40
42,40
59,30
19,40
58,20
42,40
20,40
32,30
45,45
50,40
36,40
45,60
17,12
59,40
26,40
37,75
19,24
64,40
33,45
33,40
61,40
17,24
50,98
27,35
30,40
43,40
44,40
35,40
25,40
24,48
22,15
42,40
34,45
60,42
21,40
57,40
41,60
50,45
25,40
50,40
36,45
31,40
29,56
21,45
27,40
65,16
37,60
39,40
24,40
38,80
48,40
21,25
31,45
55,40
24,40
43,40
26,45
46,33
35,40
41,54
26,40
34,35
19,25
36,40
22,15
24,40
77,40
22,40
29,40
62,24
39,40
43,50
35,45
29,40
76,10
63,45
23,15
43,50
58,40
66,55
41,45
26,40
47,40
55,40
53,40
17,48
30,40
49,60
19,30
45,40
26,40
38,40
36,40
33,20
22,40
43,42
67,8
30,40
56,25
31,25
33,40
26,40
33,40
46,30
59,40
38,40
65,40
40,40
42,35
26,40
36,24
62,40
43,45
43,45
22,55
28,40
56,45
22,15
57,45
39,40
26,15
17,10
40,38
45,40
44,40
20,10
33,40
23,40
46,30
38,50
54,40
46,45
25,40
46,40
36,40
23,25
29,40
44,6
19,16
19,40
35,40
27,50
46,40
34,45
34,35
44,40
45,40
20,35
25,55
52,50
20,40
28,40
50,40
34,64
28,40
41,65
28,40
46,25
28,40
32,50
41,24
24,40
33,40
46,60
31,40
35,50
52,40
30,19
34,40
34,40
20,30
17,18
32,40
29,40
33,35
25,60
36,40
23,72
63,40
47,40
80,24
17,40
40,40
30,25
27,40
33,50
34,60
34,40
23,40
42,40
29,40
45,28
24,40
44,40
27,40
20,35
44,40
51,40
20,40
17,5
19,40
45,55
60,40
42,40
44,40
40,40
30,40
38,50
23,60
32,40
44,40
54,40
32,50
50,40
24,20
37,60
52,40
38,40
49,45
30,16
60,40
22,40
35,40
30,60
67,24
46,40
17,6
22,30
27,40
23,35
33,45
43,20
28,20
41,40
52,40
25,20
63,35
59,45
45,40
38,60
40,35
46,40
35,60
34,25
33,20
41,36
20,40
23,40
26,35
72,20
23,40
62,40
52,40
58,42
25,40
24,40
19,8
43,40
47,40
39,40
49,42
53,30
32,45
34,50
28,45
57,38
25,20
20,24
21,35
34,50
38,80
50,50
24,50
37,45
44,58
28,40
42,40
74,9
38,50
44,40
44,46
26,40
36,40
41,50
67,48
39,50
57,30
29,40
31,45
34,40
44,40
29,40
30,40
27,40
27,50
32,45
58,8
35,40
21,36
28,40
46,50
36,40
72,40
35,40
33,40
69,40
35,40
31,20
34,32
30,40
28,55
54,35
47,50
24,40
52,60
20,48
43,45
45,40
29,35
47,42
24,40
51,40
17,12
37,40
27,70
29,40
18,25
36,35
58,40
26,45
65,30
57,40
59,40
27,40
31,40
21,24
29,60
18,40
52,47
57,80
42,40
55,40
60,48
31,40
23,40
27,40
23,25
42,50
25,40
49,45
32,40
19,28
60,40
42,40
35,40
48,37
51,40
29,40
36,40
17,21
52,60
24,40
24,50
26,40
27,20
39,60
30,45
50,32
52,55
46,45
23,20
45,20
65,24
29,55
47,40
30,60
34,45
38,64
33,40
49,26
47,40
49,40
43,60
30,40
58,60
19,14
21,40
33,60
47,50
52,60
26,55
60,40
21,40
36,50
31,45
50,40
31,40
71,15
58,50
30,40
20,20
24,50
35,40
38,45
27,32
29,40
70,15
34,45
44,35
43,40
44,40
35,60
27,40
43,38
20,25
42,40
27,40
42,40
20,40
24,40
48,40
17,20
17,10
33,40
50,50
22,40
17,16
32,40
31,45
58,50
29,48
37,40
34,40
23,40
18,5
34,40
66,4
45,55
41,35
26,30
54,40
24,45
42,50
20,20
23,20
25,45
35,60
31,40
30,40
19,20
36,50
31,40
21,30
31,40
46,65
44,50
40,40
45,40
60,35
18,25
28,40
36,40
36,40
40,40
36,35
31,40
33,40
19,40
22,15
34,45
33,40
41,60
29,40
50,42
42,45
43,40
44,40
20,20
31,40
65,59
23,24
55,40
26,45
25,15
45,40
35,40
36,36
43,50
56,20
42,40
19,25
55,72
42,50
26,40
17,20
42,40
55,40
32,40
29,40
46,37
29,40
22,20
58,40
23,50
39,40
27,38
54,40
33,45
46,40
37,40
36,18
59,38
34,40
53,70
51,55
32,42
31,40
22,30
47,50
32,40
26,38
37,32
31,55
37,24
55,38
23,56
36,40
34,40
43,50
54,40
43,40
28,42
40,50
41,60
40,55
42,38
61,50
18,30
59,16
21,40
48,50
41,40
18,33
23,40
60,60
22,20
61,40
25,40
46,35
43,40
43,40
24,30
68,20
31,38
17,20
32,48
50,40
33,47
64,40
20,30
30,36
22,40
43,45
22,40
17,20
47,75
41,60
56,50
64,45
47,50
48,40
31,46
29,40
30,40
32,60
57,42
62,40
39,24
43,25
24,40
42,15
53,40
26,40
73,40
72,24
55,40
25,40
41,50
24,50
63,6
17,20
35,50
51,40
62,48
55,40
43,40
40,50
37,45
39,40
31,18
61,40
26,55
46,50
26,40
48,50
34,40
34,40
59,40
34,40
49,56
18,20
43,40
48,50
28,70
33,40
24,15
21,40
17,28
39,50
29,40
44,40
24,50
71,40
51,40
55,25
41,60
23,7
38,40
39,40
19,30
49,40
32,40
27,70
38,50
33,60
63,15
23,28
33,60
54,40
29,45
48,30
35,40
28,40
37,50
42,65
40,40
47,55
22,50
30,45
28,40
63,55
51,20
22,40
27,40
35,45
46,38
37,52
24,15
37,10
53,40
27,30
38,44
53,60
34,40
23,40
39,45
43,50
67,40
81,30
21,20
23,25
25,40
42,38
38,40
64,5
32,40
37,40
51,60
22,42
33,40
42,55
19,10
51,40
23,40
37,44
37,99
47,25
41,40
33,30
31,40
31,40
35,40
38,40
18,45
20,40
54,35
40,40
36,45
43,35
44,40
44,40
43,43
51,40
18,20
51,40
41,30
44,70
33,40
33,40
42,40
25,45
32,38
32,70
36,40
28,40
20,20
35,60
55,20
48,40
36,20
34,35
28,35
67,40
37,40
44,70
25,40
21,40
40,35
78,40
34,40
49,44
22,40
23,40
60,42
45,40
63,20
41,35
47,40
44,40
51,40
46,40
41,40
50,30
47,50
35,45
56,55
45,45
48,58
40,40
39,50
20,40
50,65
38,40
23,60
31,16
58,40
66,40
39,40
54,52
26,50
51,40
34,40
50,40
42,44
38,25
48,40
33,40
51,32
22,40
19,30
41,50
48,35
42,30
34,40
23,40
56,50
30,45
45,55
48,40
48,50
31,40
20,20
27,40
32,40
76,2
19,40
66,1
37,75
34,30
34,8
90,40
23,40
43,40
44,60
24,37
28,55
64,20
23,40
20,50
36,50
61,40
53,40
30,40
52,55
38,40
32,40
30,75
41,40
49,40
45,47
43,35
61,40
54,32
34,40
49,80
38,40
35,80
36,40
30,50
36,60
22,20
38,40
37,50
48,46
17,15
19,20
27,40
22,50
49,40
43,40
43,40
19,35
58,60
41,40
31,40
30,40
32,40
29,35
42,52
38,28
41,40
44,50
31,60
34,40
21,40
22,20
62,40
19,40
29,25
43,40
68,8
45,60
39,40
41,50
34,25
34,33
31,47
29,25
41,40
41,55
35,45
33,45
37,38
69,40
34,40
60,70
36,40
41,50
58,40
53,40
29,40
45,40
34,38
36,40
48,35
20,40
35,50
63,40
41,45
28,45
30,40
34,40
31,40
37,38
42,40
31,50
46,45
35,60
27,53
41,35
19,20
20,45
59,40
40,37
56,60
33,44
30,60
46,50
61,35
50,40
25,30
40,39
24,40
51,54
43,40
34,54
46,45
28,50
26,40
20,28
44,40
51,40
33,60
54,40
50,40
33,40
65,20
22,8
88,40
40,40
51,43
50,40
25,99
20,30
47,40
58,40
22,30
50,48
47,40
24,45
50,40
40,45
36,40
32,40
44,40
51,40
59,40
65,30
24,65
27,35
51,40
48,40
39,60
28,40
19,25
49,40
51,60
59,55
18,40
50,40
45,80
30,50
37,35
44,40
33,40
61,40
61,40
38,42
22,30
36,45
44,60
37,62
31,20
54,45
20,16
63,40
48,40
33,41
31,45
38,40
45,40
48,40
53,40
55,40
38,72
29,40
36,60
42,60
50,40
75,35
46,40
52,40
27,40
43,45
31,42
23,30
34,24
41,40
31,30
42,40
35,45
55,25
36,40
65,59
38,12
62,20
54,60
49,40
34,40
32,40
51,50
48,60
30,40
52,43
28,40
29,40
38,50
57,50
43,40
37,40
30,40
53,48
69,1
73,37
22,35
31,45
38,40
50,35
37,37
44,40
47,45
27,40
28,80
25,40
20,40
51,40
46,40
67,7
47,35
42,40
52,50
42,40
65,40
21,10
50,40
46,40
47,50
57,40
37,45
50,40
58,40
63,30
39,65
46,35
36,40
26,50
21,57
41,40
44,40
22,40
29,60
29,40
58,40
36,50
30,48
37,43
29,40
26,40
43,45
49,40
45,40
28,40
20,25
51,40
32,50
24,40
35,40
35,55
41,40
48,45
61,35
20,30
27,50
55,24
39,40
17,20
47,40
52,40
24,20
29,40
25,40
20,40
23,35
57,60
51,40
33,16
39,40
40,40
71,16
38,40
28,40
57,40
47,40
59,40
26,40
35,40
61,50
17,30
36,60
62,50
34,50
32,50
42,40
39,40
58,40
61,60
40,55
31,37
36,50
23,40
33,41
52,40
22,24
51,40
31,40
49,40
49,40
53,40
52,40
20,40
26,40
61,6
43,30
46,52
43,35
41,40
44,55
54,40
65,40
32,40
25,40
23,50
25,45
19,50
37,60
45,45
37,44
40,70
19,40
17,5
27,40
40,40
59,30
19,40
43,40
42,40
54,40
54,50
51,45
50,60
40,40
55,25
50,40
31,50
42,32
24,45
30,40
39,50
37,50
33,40
48,40
43,78
39,40
53,45
52,60
28,20
32,52
31,90
31,40
47,40
19,50
40,40
40,45
41,40
53,40
46,43
45,35
39,34
19,40
57,40
49,40
59,40
32,50
18,15
35,40
58,40
28,43
36,40
41,35
47,40
50,60
61,16
36,50
38,40
56,60
50,45
45,40
44,66
51,45
44,50
25,50
60,40
17,30
49,50
46,60
56,38
25,45
22,40
76,2
41,60
48,40
46,40
30,40
39,40
40,40
70,40
35,45
49,75
24,60
40,36
61,5
25,40
28,40
69,11
22,36
47,38
38,48
26,40
17,24
33,35
43,40
58,40
53,40
26,25
43,40
31,40
30,42
25,25
57,40
37,60
32,48
26,41
45,40
53,35
27,40
28,50
