Row ID,Order Date,Ship Date,Sales,Quantity,Discount,City,State
7981,3/1/2013,7/1/2013,16.448,2,0.2,Houston,Texas
740,4/1/2013,8/1/2013,11.784,3,0.2,Naperville,Illinois
741,4/1/2013,8/1/2013,272.736,3,0.2,Naperville,Illinois
742,4/1/2013,8/1/2013,3.54,2,0.8,Naperville,Illinois
1760,5/1/2013,12/1/2013,19.536,3,0.2,Philadelphia,Pennsylvania
5328,6/1/2013,8/1/2013,19.44,3,0,Los Angeles,California
7181,6/1/2013,7/1/2013,12.78,3,0,Athens,Georgia
7475,6/1/2013,10/1/2013,2573.82,9,0,Henderson,Kentucky
7476,6/1/2013,10/1/2013,609.98,2,0,Henderson,Kentucky
7477,6/1/2013,10/1/2013,5.48,2,0,Henderson,Kentucky
7478,6/1/2013,10/1/2013,391.98,2,0,Henderson,Kentucky
7479,6/1/2013,10/1/2013,755.96,4,0,Henderson,Kentucky
7480,6/1/2013,10/1/2013,31.12,4,0,Henderson,Kentucky
7481,6/1/2013,10/1/2013,6.54,1,0,Henderson,Kentucky
7661,7/1/2013,12/1/2013,76.728,3,0.6,Huntsville,Texas
7662,7/1/2013,12/1/2013,10.43,7,0.8,Huntsville,Texas
593,9/1/2013,13/1/2013,9.344,2,0.2,Laredo,Texas
594,9/1/2013,13/1/2013,31.2,3,0.2,Laredo,Texas
866,10/1/2013,15/1/2013,2.89,1,0,Springfield,Virginia
867,10/1/2013,15/1/2013,51.94,1,0,Springfield,Virginia
717,11/1/2013,14/1/2013,9.94,2,0,Dover,Delaware
764,13/1/2013,15/1/2013,11.36,2,0,Bossier City,Louisiana
765,13/1/2013,15/1/2013,50.94,3,0,Bossier City,Louisiana
766,13/1/2013,15/1/2013,646.74,6,0,Bossier City,Louisiana
767,13/1/2013,15/1/2013,5.64,3,0,Bossier City,Louisiana
768,13/1/2013,15/1/2013,572.58,6,0,Bossier City,Louisiana
2979,13/1/2013,16/1/2013,545.94,6,0,Mount Pleasant,South Carolina
4938,13/1/2013,18/1/2013,1325.85,5,0,San Francisco,California
4939,13/1/2013,18/1/2013,333.999,3,0.15,San Francisco,California
4940,13/1/2013,18/1/2013,19.9,5,0,San Francisco,California
9629,13/1/2013,18/1/2013,37.408,7,0.2,Newark,Ohio
9630,13/1/2013,18/1/2013,3.438,2,0.7,Newark,Ohio
6475,14/1/2013,15/1/2013,61.96,4,0.5,Philadelphia,Pennsylvania
1914,15/1/2013,17/1/2013,149.95,5,0,Roswell,Georgia
971,16/1/2013,18/1/2013,127.104,6,0.2,Philadelphia,Pennsylvania
972,16/1/2013,18/1/2013,124.2,3,0.4,Philadelphia,Pennsylvania
973,16/1/2013,18/1/2013,18.588,2,0.7,Philadelphia,Pennsylvania
974,16/1/2013,18/1/2013,30.072,3,0.2,Philadelphia,Pennsylvania
5365,18/1/2013,21/1/2013,64.864,4,0.2,Springfield,Oregon
5463,19/1/2013,20/1/2013,32.34,10,0.7,Scottsdale,Arizona
5464,19/1/2013,20/1/2013,56.064,4,0.2,Scottsdale,Arizona
5465,19/1/2013,20/1/2013,108.72,5,0.2,Scottsdale,Arizona
5466,19/1/2013,20/1/2013,181.47,5,0.7,Scottsdale,Arizona
1122,20/1/2013,26/1/2013,699.93,7,0,Jonesboro,Arkansas
1123,20/1/2013,26/1/2013,22.96,7,0,Jonesboro,Arkansas
1124,20/1/2013,26/1/2013,38.6,4,0,Jonesboro,Arkansas
1125,20/1/2013,26/1/2013,6.63,3,0,Jonesboro,Arkansas
1126,20/1/2013,26/1/2013,23.34,3,0,Jonesboro,Arkansas
1127,20/1/2013,26/1/2013,1067.94,3,0,Jonesboro,Arkansas
5737,20/1/2013,25/1/2013,19.36,2,0,Los Angeles,California
5738,20/1/2013,25/1/2013,19.3,2,0,Los Angeles,California
6327,20/1/2013,26/1/2013,13.98,1,0,Westland,Michigan
6328,20/1/2013,26/1/2013,272.94,3,0,Westland,Michigan
6329,20/1/2013,26/1/2013,19.05,5,0,Westland,Michigan
6330,20/1/2013,26/1/2013,247.716,4,0.1,Westland,Michigan
6331,20/1/2013,26/1/2013,66.58,2,0,Westland,Michigan
6332,20/1/2013,26/1/2013,43.92,3,0,Westland,Michigan
6333,20/1/2013,26/1/2013,14.73,3,0,Westland,Michigan
6334,20/1/2013,26/1/2013,29.7,5,0,Westland,Michigan
7121,20/1/2013,26/1/2013,67.194,1,0.7,Smyrna,Tennessee
9990,21/1/2013,23/1/2013,25.248,3,0.2,Miami,Florida
9156,23/1/2013,28/1/2013,40.08,6,0,Las Vegas,Nevada
9887,23/1/2013,27/1/2013,5.94,3,0,Lafayette,Indiana
2579,26/1/2013,31/1/2013,62.82,3,0,Alexandria,Virginia
2580,26/1/2013,31/1/2013,489.92,8,0,Alexandria,Virginia
2581,26/1/2013,31/1/2013,19.44,3,0,Alexandria,Virginia
2582,26/1/2013,31/1/2013,16.68,2,0,Alexandria,Virginia
2583,26/1/2013,31/1/2013,155.35,13,0,Alexandria,Virginia
2584,26/1/2013,31/1/2013,12.42,3,0,Alexandria,Virginia
2585,26/1/2013,31/1/2013,187.98,2,0,Alexandria,Virginia
8150,26/1/2013,29/1/2013,10.68,2,0,Rapid City,South Dakota
8151,26/1/2013,29/1/2013,141.96,2,0,Rapid City,South Dakota
3795,27/1/2013,2/2/2013,57.23,1,0,San Diego,California
3796,27/1/2013,2/2/2013,333,3,0.2,San Diego,California
3797,27/1/2013,2/2/2013,36.44,4,0,San Diego,California
3084,28/1/2013,3/2/2013,3.928,1,0.2,New York City,New York
6388,30/1/2013,4/2/2013,10.56,2,0,Detroit,Michigan
6389,30/1/2013,4/2/2013,229.94,2,0,Detroit,Michigan
3366,31/1/2013,2/2/2013,290.666,2,0.15,Mission Viejo,California
541,1/2/2013,3/2/2013,468.9,6,0,Green Bay,Wisconsin
1704,2/2/2013,6/2/2013,12.35,5,0,San Diego,California
9138,2/2/2013,9/2/2013,18.336,2,0.7,Saint Petersburg,Florida
9139,2/2/2013,9/2/2013,180.96,5,0.2,Saint Petersburg,Florida
1518,3/2/2013,6/2/2013,83.84,2,0.2,Seattle,Washington
1519,3/2/2013,6/2/2013,13.272,3,0.2,Seattle,Washington
1544,4/2/2013,8/2/2013,82.896,3,0.2,San Diego,California
1545,4/2/2013,8/2/2013,34.24,4,0,San Diego,California
8585,4/2/2013,8/2/2013,17.248,2,0.2,Escondido,California
1998,6/2/2013,9/2/2013,15,4,0,Chesapeake,Virginia
1999,6/2/2013,9/2/2013,161.61,1,0,Chesapeake,Virginia
2000,6/2/2013,9/2/2013,144.95,5,0,Chesapeake,Virginia
8981,6/2/2013,10/2/2013,8.952,2,0.8,Romeoville,Illinois
850,7/2/2013,12/2/2013,115.36,7,0,Linden,New Jersey
8736,7/2/2013,10/2/2013,64.96,4,0,New York City,New York
9267,8/2/2013,9/2/2013,14.56,2,0,North Las Vegas,Nevada
5631,11/2/2013,15/2/2013,234.45,3,0,Chesapeake,Virginia
5632,11/2/2013,15/2/2013,1256.22,6,0,Chesapeake,Virginia
5633,11/2/2013,15/2/2013,17.46,2,0,Chesapeake,Virginia
9255,11/2/2013,15/2/2013,60.89,1,0,Columbia,Missouri
9256,11/2/2013,15/2/2013,14.94,3,0,Columbia,Missouri
9257,11/2/2013,15/2/2013,9.64,2,0,Columbia,Missouri
9258,11/2/2013,15/2/2013,332.94,3,0,Columbia,Missouri
9259,11/2/2013,15/2/2013,51.9,3,0,Columbia,Missouri
9260,11/2/2013,15/2/2013,64.96,2,0,Columbia,Missouri
457,12/2/2013,18/2/2013,129.568,2,0.2,Concord,California
5467,14/2/2013,19/2/2013,16.176,3,0.2,Houston,Texas
9762,14/2/2013,18/2/2013,239.97,3,0,Seattle,Washington
9763,14/2/2013,18/2/2013,81.96,2,0,Seattle,Washington
9764,14/2/2013,18/2/2013,238.62,2,0,Seattle,Washington
7438,15/2/2013,19/2/2013,21.36,5,0.2,Seattle,Washington
1333,16/2/2013,21/2/2013,1.08,3,0.8,Dallas,Texas
1334,16/2/2013,21/2/2013,7.96,2,0.8,Dallas,Texas
9516,17/2/2013,24/2/2013,54.208,14,0.2,Chicago,Illinois
6082,18/2/2013,18/2/2013,25.16,5,0.6,Lubbock,Texas
8223,18/2/2013,24/2/2013,12.624,2,0.2,Arlington,Texas
4521,20/2/2013,26/2/2013,62.31,3,0,Richmond,Indiana
4522,20/2/2013,26/2/2013,20.32,4,0,Richmond,Indiana
8504,20/2/2013,24/2/2013,12.96,2,0,Los Angeles,California
2883,21/2/2013,25/2/2013,8.85,5,0.8,Woodstock,Illinois
7611,22/2/2013,24/2/2013,19.44,3,0,Moreno Valley,California
6530,23/2/2013,27/2/2013,6.936,3,0.2,El Paso,Texas
6531,23/2/2013,27/2/2013,4.428,3,0.8,El Paso,Texas
5512,24/2/2013,2/3/2013,32.896,4,0.2,Medford,Oregon
5513,24/2/2013,2/3/2013,22.776,3,0.2,Medford,Oregon
9464,27/2/2013,3/3/2013,19.456,4,0.2,Columbus,Ohio
158,1/3/2013,6/3/2013,457.568,2,0.2,Seattle,Washington
5714,1/3/2013,5/3/2013,5.94,3,0,New York City,New York
6548,1/3/2013,5/3/2013,634.116,6,0.3,Elmhurst,Illinois
6549,1/3/2013,5/3/2013,17.472,3,0.2,Elmhurst,Illinois
7948,1/3/2013,5/3/2013,18.84,5,0.2,El Paso,Texas
7949,1/3/2013,5/3/2013,362.25,6,0.3,El Paso,Texas
7950,1/3/2013,5/3/2013,63.552,6,0.6,El Paso,Texas
7951,1/3/2013,5/3/2013,129.552,3,0.2,El Paso,Texas
8310,1/3/2013,7/3/2013,137.352,3,0.2,Houston,Texas
8311,1/3/2013,7/3/2013,376.509,3,0.3,Houston,Texas
6058,2/3/2013,8/3/2013,11.36,2,0,New York City,New York
6059,2/3/2013,8/3/2013,36.4,5,0,New York City,New York
9946,2/3/2013,6/3/2013,3.424,1,0.2,Philadelphia,Pennsylvania
9947,2/3/2013,6/3/2013,151.2,3,0.2,Philadelphia,Pennsylvania
556,3/3/2013,7/3/2013,19.456,4,0.2,Wilmington,North Carolina
1163,3/3/2013,8/3/2013,9.99,1,0,New York City,New York
1164,3/3/2013,8/3/2013,125.76,3,0.2,New York City,New York
1165,3/3/2013,8/3/2013,25.32,5,0.2,New York City,New York
7247,3/3/2013,8/3/2013,15.12,3,0.2,Columbus,Ohio
